Profile ID,Reel ID,Comments,Likes,Reach,Saved,Shares,Total Interactions
17841443997027489,18031500506341675,0,3,237,0,0,277
17841443997027489,18468098377030113,1,5,150,0,3,239
17841443997027489,18048201751937099,0,7,197,0,2,303
17841443997027489,18097328357362809,7,25,587,1,10,935
17841443997027489,18463359970111086,0,12,263,1,0,358
17841443997027489,17945669489983067,6,129,2859,7,9,4901
17841443997027489,18343048711232360,2,11,261,0,1,495
17841443997027489,18053108456648898,0,6,203,0,0,317
17841443997027489,18057226085130515,1,7,294,0,1,409
17841443997027489,18477967339027802,0,3,132,0,0,163
17841443997027489,18015751733646206,1,3,90,0,1,119
17841443997027489,18152202727337437,1,1,56,0,0,86
17841443997027489,18050303263960563,0,3,42,0,0,60
17841443997027489,18027169910525934,0,4,119,0,0,159
17841443997027489,18008960783657490,0,4,240,0,1,320
17841443997027489,17938526417907198,1,9,224,0,2,375
17841443997027489,17994282737801537,0,13,233,0,0,402
17841443997027489,18112605173503285,0,5,168,0,0,242
17841443997027489,18088426654957101,0,10,495,0,4,645
17841443997027489,18141465895481390,1,6,324,0,3,467
17841443997027489,17945541816062719,0,5,168,0,0,256
17841443997027489,18081251545746259,0,18,425,3,6,692
17841443997027489,18099589954485525,0,3,94,0,0,112
17841443997027489,18252308017283912,0,2,53,0,0,78
17841443997027489,17888090061146198,0,2,45,0,2,69
17841443997027489,17856051924301104,0,3,72,0,1,101
17841443997027489,18029041556168816,0,3,37,0,0,65
17841443997027489,18011348195646876,1,6,137,1,1,232
17841443997027489,17943287117863093,3,4,124,0,1,205
17841443997027489,18168193999454962,0,15,403,0,6,607
17841443997027489,18081217157537956,0,9,197,0,0,301
17841443997027489,18114117790779719,1,18,1039,3,1,1262
17841443997027489,18100425979851192,0,9,340,0,0,430
17841443997027489,17969384516976020,0,2,125,0,0,222
17841443997027489,18066173897214892,4,75,3019,3,12,4390
17841443997027489,18211295107290622,0,1,50,1,0,68
17841443997027489,18012516869669201,0,2,31,0,0,39
17841443997027489,18055920880918154,0,4,90,0,0,137
17841443997027489,18024529682265828,0,4,42,0,0,72
17841443997027489,18042191485946777,0,5,50,0,0,85
17841443997027489,18424661488072052,0,4,39,0,0,63
17841443997027489,17898686268064244,0,5,116,0,0,159
17841443997027489,18135487336579236,0,1,99,0,0,112
17841443997027489,17881966317437104,0,5,205,0,0,299
17841443997027489,17991000089940760,5,23,621,1,3,825
17841443997027489,18077352263590776,1,10,300,0,0,525
17841443997027489,18094111300863652,0,4,197,0,0,281
17841443997027489,18082447660938054,0,5,146,1,1,213
17841443997027489,18029157389614945,0,5,85,0,0,128
17841443997027489,17931866945850663,1,2,123,0,0,170
17841443997027489,18480250102009786,0,2,160,0,0,177
17841443997027489,18121685512398082,0,7,340,0,1,479
17841443997027489,18015799073359402,0,6,121,0,1,181
17841443997027489,18024412109438528,0,5,301,0,0,455
17841443997027489,17880625056074606,1,9,316,1,1,458
17841443997027489,18094461299627728,0,3,196,0,0,257
17841443997027489,18111847015847256,1,18,280,1,0,378
17841443997027489,17988354905941166,0,9,327,0,0,499
17841443997027489,18050720957438653,0,3,145,0,0,183
17841443997027489,18108821806579132,0,7,154,1,1,245
17841443997027489,17992046552752701,0,3,56,0,0,76
17841443997027489,18028989407232776,0,1,52,0,0,78
17841443997027489,18080255641571560,0,2,139,0,0,164
17841443997027489,18049216669850152,0,2,54,0,0,61
17841443997027489,18097163188427963,0,5,120,1,0,163
17841443997027489,18464896186055847,0,5,34,0,0,62
17841443997027489,18270441547217148,1,5,148,0,0,206
17841443997027489,17969859236788347,0,8,98,0,0,179
17841443997027489,17978396120888349,0,3,145,0,0,171
17841443997027489,17928608007299210,0,9,313,0,3,416
17841443997027489,18397017262198520,0,7,139,0,3,155
17841443997027489,17897967792374533,0,3,138,0,0,175
17841443997027489,18055004756640492,4,22,738,4,8,1252
17841443997027489,18051571229231804,1,26,617,0,8,966
17841443997027489,18051567230042625,0,5,205,1,1,241
17841443997027489,18084949951544815,0,6,151,1,2,249
17841443997027489,18338739010147459,0,3,66,0,0,103
17841443997027489,17985333818753210,0,3,44,1,0,72
17841443997027489,17946562001879414,0,4,58,0,0,77
17841443997027489,17896072826999626,0,3,45,0,0,63
17841443997027489,17887520235097665,1,3,151,0,1,249
17841443997027489,18349105066170302,0,5,160,0,0,203
17841443997027489,18212237299328341,0,5,241,1,0,329
17841443997027489,17893340067283120,12,559,9304,32,9,19194
17841443997027489,18391427566183811,0,2,137,0,0,199
17841443997027489,18549390325012709,0,2,107,1,0,181
17841443997027489,18285658813260446,1,21,517,0,5,724
17841443997027489,17958972650744196,0,2,76,0,0,94
17841443997027489,18062016250853017,0,3,42,0,0,62
17841443997027489,18008977934678075,1,3,49,0,0,82
17841443997027489,18346599598122001,0,3,63,0,0,87
17841443997027489,18030853187363454,0,4,76,1,0,109
17841443997027489,18033009641252106,1,7,162,1,1,230
17841443997027489,18002133824654810,0,5,133,0,0,223
17841443997027489,18597213292032019,1,8,232,0,0,297
17841443997027489,18119508463635278,0,4,251,0,0,304
17841443997027489,18340094803214468,0,16,860,1,5,1379
17841443997027489,18109361743638253,0,2,146,0,0,199
17841443997027489,18022046237583630,0,15,580,0,4,983
17841443997027489,17891495952114201,0,3,129,0,1,167
17841443997027489,18047838380150150,0,3,118,0,0,137
17841443997027489,18034694834376413,0,4,148,0,0,172
17841443997027489,17921154248898817,0,3,336,0,1,512
17841443997027489,18285303712213979,1,2,93,0,0,117
17841443997027489,18466970854011431,0,3,40,0,0,45
17841443997027489,18000715859688494,3,13,517,0,3,800
17841443997027489,17863109211229428,1,5,255,0,2,351
17841443997027489,18146045464515430,0,6,199,0,0,265
17841443997027489,17872239399656962,2,20,330,0,3,466
17841443997027489,18339079909213970,0,5,129,0,3,151
17841443997027489,18055996829653271,0,3,238,0,0,307
17841443997027489,18088382194804503,0,9,188,0,1,294
17841443997027489,18037110011372562,0,2,68,0,0,75
17841443997027489,17972830574800673,0,3,34,0,0,46
17841443997027489,17901425706087589,0,2,41,0,0,73
17841443997027489,18036644345349172,1,4,112,0,0,144
17841443997027489,18258627553255498,0,3,59,0,0,80
17841443997027489,17962274171813446,0,5,91,0,0,131
17841443997027489,17924583419865456,0,6,270,0,1,320
17841443997027489,17983673997001805,0,6,141,0,0,182
17841443997027489,17987845124988253,1,73,3365,2,4,4718
17841443997027489,18087048173165943,0,21,497,2,7,727
17841443997027489,18079228430587048,0,8,253,0,2,417
17841443997027489,18075247372887809,0,6,210,1,1,316
17841443997027489,18015938903462016,0,6,371,0,1,477
17841443997027489,18052356466995423,0,4,57,0,0,63
17841443997027489,18006592334692489,0,4,85,0,0,118
17841443997027489,17942868059915129,0,4,152,0,0,191
17841443997027489,17945904623777206,2,4,295,0,1,347
17841443997027489,18333367273145291,0,5,60,0,0,84
17841443997027489,17888955681037080,1,4,214,0,0,285
17841443997027489,18039865040040335,1,13,315,0,2,518
17841443997027489,18135209884604109,0,5,112,0,0,174
17841443997027489,18121826998725258,2,15,323,0,0,500
17841443997027489,17853707040654508,0,13,396,0,3,542
17841443997027489,18088917727837799,0,4,105,0,0,193
17841443997027489,18374694898181796,0,6,205,1,1,332
17841443997027489,18018377273647839,0,3,149,0,0,167
17841443997027489,18055757413794121,0,2,74,1,0,97
17841443997027489,18031388381172783,0,4,144,0,0,197
17841443997027489,18043552511122563,1,5,112,0,0,164
17841443997027489,18042515789130475,1,3,91,0,0,114
17841443997027489,17889593100099518,1,8,141,0,1,238
17841443997027489,18376293553101919,0,10,174,0,1,289
17841443997027489,18097173742456029,1,12,495,0,4,813
17841443997027489,18152565094490366,0,3,85,0,1,114
17841443997027489,17899831002428906,11,45,639,3,8,980
17841443997027489,18081859529212433,0,12,185,0,12,244
17841443997027489,18059758229304729,0,4,151,1,1,199
17841443997027489,17981604788748620,0,26,389,2,2,534
17841443997027489,18255495697276105,0,3,88,0,1,107
17841443997027489,18066559639795066,0,2,34,0,0,56
17841443997027489,17953681634855099,0,2,54,0,0,75
17841443997027489,17864277048201591,0,3,57,0,0,99
17841443997027489,18379076035097824,0,3,190,0,0,276
17841443997027489,18117452038405019,0,3,58,1,0,81
17841443997027489,17852933823294647,1,7,263,0,1,343
17841443997027489,18123848344695503,0,9,276,0,0,392
17841443997027489,17965348013933871,0,4,78,0,0,111
17841443997027489,18104527145494491,1,19,434,0,5,698
17841443997027489,18019020971805638,0,6,380,0,0,501
17841443997027489,18074155781264071,0,5,228,1,0,319
17841443997027489,18043688078341530,0,9,193,0,0,325
17841443997027489,18261103180281949,0,1,48,0,0,61
17841443997027489,18007109237678391,0,3,52,0,0,74
17841443997027489,17913339462024679,0,2,374,0,0,590
17841443997027489,18138490342366275,0,4,32,0,0,46
17841443997027489,18126462385385793,0,5,193,0,0,235
17841443997027489,18042595538136218,0,4,59,1,0,91
17841443997027489,18143932408342158,0,6,90,0,0,142
